group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,f0_vs_pupil_rho,f0_vs_speed_rho,f0_vs_respiration_rho
202,m496,DAT,superficial,DAT superficial,somas,g104,78,0.531578947368421,0.09913043478260869,0.17808574331558197,0.35623079877112135
202,m496,DAT,superficial,DAT superficial,somas,g105,78,0.531578947368421,-0.19478260869565217,-0.03155017376762753,-0.021841397849462367
202,m496,DAT,superficial,DAT superficial,somas,g106,78,0.531578947368421,0.24086956521739128,-0.04982742821674831,-0.03052995391705069
202,m496,DAT,superficial,DAT superficial,somas,g107,78,0.531578947368421,-0.10782608695652172,-0.03804056780758633,-0.2440956221198157
202,m496,DAT,superficial,DAT superficial,somas,g108,78,0.531578947368421,0.007826086956521738,0.1176653823604273,0.2193740399385561
202,m496,DAT,superficial,DAT superficial,somas,g109,78,0.531578947368421,-0.041739130434782605,-0.045318446055915874,0.15428187403993857
202,m496,DAT,superficial,DAT superficial,somas,g110,78,0.531578947368421,-0.2495652173913043,0.0696923524408101,0.07771697388632873
202,m496,DAT,superficial,DAT superficial,somas,g111,78,0.531578947368421,-0.054782608695652164,0.05843894907602829,0.2831221198156682
202,m496,DAT,superficial,DAT superficial,somas,g112,78,0.531578947368421,-0.05391304347826086,0.031537472409428,0.19407642089093702
202,m496,DAT,superficial,DAT superficial,somas,g113,78,0.531578947368421,-0.05130434782608695,0.0393869117767363,0.19009216589861752
202,m496,DAT,superficial,DAT superficial,somas,g114,78,0.531578947368421,-0.049565217391304345,-0.25252840372301555,-0.1322004608294931
202,m496,DAT,superficial,DAT superficial,somas,g115,78,0.531578947368421,-0.08608695652173912,-0.17847948541976735,-0.11391129032258066
202,m496,DAT,superficial,DAT superficial,somas,g116,78,0.531578947368421,-0.0634782608695652,-0.05346001666181332,0.14952956989247315
202,m496,DAT,superficial,DAT superficial,somas,g117,78,0.531578947368421,-0.10956521739130433,-0.08612790995099931,0.05861175115207373
202,m496,DAT,superficial,DAT superficial,somas,g118,78,0.531578947368421,-0.07391304347826086,-0.08066632592520227,0.2903705837173579
202,m496,DAT,superficial,DAT superficial,somas,g119,78,0.531578947368421,0.04434782608695652,0.04622024248808236,0.1469374039938556
202,m496,DAT,superficial,DAT superficial,somas,g120,78,0.531578947368421,0.07217391304347825,0.03974254980632309,-0.11059907834101383
202,m496,DAT,superficial,DAT superficial,somas,g121,78,0.531578947368421,0.18608695652173912,-0.2749335995869829,-0.445852534562212
202,m496,DAT,superficial,DAT superficial,somas,g122,78,0.531578947368421,-0.05304347826086955,-0.17249714570778965,0.16921082949308758
202,m496,DAT,superficial,DAT superficial,somas,g123,78,0.531578947368421,-0.027826086956521737,-0.19881435989721166,-0.018097158218125957
202,m496,DAT,superficial,DAT superficial,somas,g124,78,0.531578947368421,-0.37217391304347824,-0.16955043060549915,0.06984447004608296
202,m496,DAT,superficial,DAT superficial,somas,g125,78,0.531578947368421,0.1391304347826087,0.0990578925981188,0.07675691244239631
202,m496,DAT,superficial,DAT superficial,somas,g126,78,0.531578947368421,-0.14869565217391303,-0.08301607719211496,0.0445468509984639
202,m496,DAT,superficial,DAT superficial,somas,g127,78,0.531578947368421,-0.1443478260869565,0.11741135519643675,0.12427995391705068
202,m496,DAT,superficial,DAT superficial,somas,g128,78,0.531578947368421,-0.3026086956521739,0.1506000041718034,0.17108294930875578
202,m496,DAT,superficial,DAT superficial,somas,g129,78,0.531578947368421,-0.040869565217391296,0.051618319722881764,0.21894201228878651
202,m496,DAT,superficial,DAT superficial,somas,g130,78,0.531578947368421,-0.3173913043478261,0.20295500267025776,0.04776305683563748
202,m496,DAT,superficial,DAT superficial,somas,g131,78,0.531578947368421,-0.10521739130434782,-0.007417593188524347,0.13868087557603687
202,m496,DAT,superficial,DAT superficial,somas,g132,78,0.531578947368421,-0.046956521739130425,0.19205723733506277,0.38076036866359453
202,m496,DAT,superficial,DAT superficial,somas,g133,78,0.531578947368421,0.1782608695652174,0.043654568131777705,0.23166282642089095
202,m496,DAT,superficial,DAT superficial,somas,g134,78,0.531578947368421,0.11391304347826085,0.16351728546072336,0.46956605222734266
202,m496,DAT,superficial,DAT superficial,somas,g135,78,0.531578947368421,0.040869565217391296,0.10145844929782959,0.3220526113671275
202,m496,DAT,superficial,DAT superficial,somas,g136,78,0.531578947368421,-0.1443478260869565,0.09440919549709155,0.21860599078341017
202,m496,DAT,superficial,DAT superficial,somas,g137,78,0.531578947368421,-0.05913043478260869,0.08233020384934044,0.15668202764976957
202,m496,DAT,superficial,DAT superficial,somas,g138,78,0.531578947368421,0.3173913043478261,-0.08233020384934044,-0.07301267281105991
202,m496,DAT,superficial,DAT superficial,somas,g139,78,0.531578947368421,0.3104347826086956,0.003924719683654149,0.14016897081413213
202,m496,DAT,superficial,DAT superficial,somas,g140,78,0.531578947368421,-0.19478260869565217,0.03256628242358977,0.22758256528417822
202,m496,DAT,superficial,DAT superficial,somas,g141,78,0.531578947368421,0.07826086956521738,0.1956517217055292,0.2474558371735791
202,m496,DAT,superficial,DAT superficial,somas,g142,78,0.531578947368421,-0.027826086956521737,0.032070929453808183,0.26636904761904767
202,m496,DAT,superficial,DAT superficial,somas,g143,78,0.531578947368421,0.23217391304347823,-0.11338502464718639,-0.016753072196620585
202,m496,DAT,superficial,DAT superficial,somas,g144,78,0.531578947368421,-0.2782608695652174,-0.1956136176309306,0.06336405529953917
202,m496,DAT,superficial,DAT superficial,somas,g145,78,0.531578947368421,-0.3643478260869565,0.017489770240750043,-0.08870967741935484
202,m496,DAT,superficial,DAT superficial,somas,g146,78,0.531578947368421,-0.21391304347826084,-0.16060867443303145,0.02702572964669739
202,m496,DAT,superficial,DAT superficial,somas,g147,78,0.531578947368421,0.09739130434782609,-0.15433420348246463,-0.1299443164362519
202,m496,DAT,superficial,DAT superficial,somas,g148,78,0.531578947368421,0.5278260869565217,0.06386242902722675,0.1653705837173579
202,m496,DAT,superficial,DAT superficial,somas,g149,78,0.531578947368421,0.013913043478260868,-0.030648377335461042,0.24596774193548387
202,m496,DAT,superficial,DAT superficial,somas,g150,78,0.531578947368421,-0.3608695652173913,-0.14899963303866284,-0.007776497695852535
202,m496,DAT,superficial,DAT superficial,somas,g151,78,0.531578947368421,-0.09130434782608696,-0.1407945556417678,0.07354070660522273
202,m496,DAT,superficial,DAT superficial,somas,g152,78,0.531578947368421,-0.12608695652173912,-0.010440516440012008,0.12072772657450077
202,m496,DAT,superficial,DAT superficial,somas,g153,78,0.531578947368421,0.033913043478260865,0.017083326778365146,0.10829493087557604
202,m496,DAT,superficial,DAT superficial,somas,g154,78,0.531578947368421,-0.0634782608695652,0.050894342305508655,0.1527937788018433
202,m496,DAT,superficial,DAT superficial,somas,g155,78,0.531578947368421,-0.01217391304347826,0.2054190661609662,0.21798195084485406
202,m496,DAT,superficial,DAT superficial,somas,g156,78,0.531578947368421,-0.015652173913043476,0.023853150698713563,0.2508640552995392
202,m496,DAT,superficial,DAT superficial,somas,g157,78,0.531578947368421,-0.0634782608695652,0.10172517782001969,0.012816820276497698
202,m496,DAT,superficial,DAT superficial,somas,g158,78,0.531578947368421,-0.19391304347826085,-0.007493801337721515,0.007968509984639018
202,m496,DAT,superficial,DAT superficial,somas,g159,78,0.531578947368421,-0.041739130434782605,0.036262377659652414,-0.18217165898617513
202,m496,DAT,superficial,DAT superficial,somas,g160,78,0.531578947368421,-0.08869565217391304,0.1668069372344011,0.18990015360983103
