group_id,mouse,line,depth_class,cohort,compartment,n_units,n_awake_trials,median_pupil_coverage,population_f0_vs_pupil_rho,population_f0_vs_speed_rho,population_f0_vs_respiration_rho,population_f0_vs_speed_given_respiration_rho,population_f0_vs_respiration_given_speed_rho
202,m496,DAT,superficial,DAT superficial,groups,305,78,0.5263157894736842,-0.24223602484472054,0.00034293667138725575,0.1168394777265745,0.013004720651869977,0.1011846813738247
203,m462,TH,deep,TH deep,somas,82,76,0.06315789473684211,,0.054418312335487704,0.12278754239901327,-0.06752261144062376,0.13920424142648036
203,m462,TH,deep,TH deep,groups,294,76,0.06315789473684211,,-0.02333996423563349,0.15584335491828555,-0.10750323717525799,0.185022008533057
204,m465,TH,deep,TH deep,somas,72,76,0.9894736842105263,0.01135875601629026,0.1383657271964642,0.2901455238996276,-0.06510750076045908,0.2650787479157668
204,m465,TH,deep,TH deep,groups,363,76,0.9894736842105263,-0.2041466123657904,-0.46605459910532365,-0.39137656444225594,-0.3045213586775002,-0.13608905858001563
238,m466,TH,deep,TH deep,somas,151,59,1.0,-0.23843826647944258,0.13610371664768336,0.1749703500888,0.16744470099859562,0.14157062532573253
238,m466,TH,deep,TH deep,groups,516,59,1.0,-0.052726355990131445,-0.07184125062214576,-0.13499357651360258,0.016865297886743864,-0.13563457758669883
226,m465,TH,superficial,TH superficial,somas,164,61,0.0,,-0.09754557226097546,0.34914027149321264,-0.1637205894716419,0.38030654804367986
226,m465,TH,superficial,TH superficial,groups,484,61,0.0,,-0.08062602267499193,0.33321266968325786,-0.13819239715157974,0.35754217849256453
227,m496,DAT,superficial,DAT superficial,somas,237,72,1.0,0.16518747186314234,0.11241344645105629,0.34481594328678133,0.021221136658078572,0.3286686916652861
227,m496,DAT,superficial,DAT superficial,groups,445,72,1.0,0.14319248826291084,0.11345922776196493,0.3138008376913229,0.03129750953433488,0.29598789845722795
235,m466,TH,superficial,TH superficial,somas,221,76,0.0,,-0.003223324541857891,0.05358998197442511,-0.017590974599703272,0.05630349001232079
235,m466,TH,superficial,TH superficial,groups,809,76,0.0,,-0.025923759081325163,0.0033493738734015695,-0.027711772136781825,0.010352910297153082
236,m496,DAT,superficial,DAT superficial,somas,162,80,0.0,,0.4648719435031041,0.4072411450051153,0.3533459033484728,0.2621868670434534
236,m496,DAT,superficial,DAT superficial,groups,481,80,0.0,,0.49073208951143665,0.412761668225648,0.3828177887949644,0.25953098851161355
244,m466,TH,superficial,TH superficial,somas,198,111,0.9880952380952381,-0.05884590484414179,0.06702688858871206,,,
244,m466,TH,superficial,TH superficial,groups,479,111,0.9880952380952381,-0.05294659996338987,0.07505825401394196,,,
