group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,f0_vs_pupil_rho,f0_vs_speed_rho,f0_vs_respiration_rho
175,m442,DAT,superficial,DAT superficial,somas,g81,88,0.0390625,,0.24208378981134754,0.28663511284833937
175,m442,DAT,superficial,DAT superficial,somas,g82,88,0.0390625,,0.11061295099325733,0.243258117797775
175,m442,DAT,superficial,DAT superficial,somas,g83,88,0.0390625,,0.14917138040981937,0.22520638416934285
175,m442,DAT,superficial,DAT superficial,somas,g84,88,0.0390625,,0.351118067688053,0.2773362685987665
175,m442,DAT,superficial,DAT superficial,somas,g85,88,0.0390625,,0.2949472907086194,0.2984964227007775
175,m442,DAT,superficial,DAT superficial,somas,g86,88,0.0390625,,0.32302826949689334,0.27579526694755885
175,m442,DAT,superficial,DAT superficial,somas,g87,88,0.0390625,,-0.16124514296043083,0.07150247661603377
175,m442,DAT,superficial,DAT superficial,somas,g88,88,0.0390625,,-0.011632792406323268,0.016995046781889803
175,m442,DAT,superficial,DAT superficial,somas,g89,88,0.0390625,,0.2043367454602758,0.16260649423542856
175,m442,DAT,superficial,DAT superficial,somas,g90,88,0.0390625,,0.36295370636074886,0.3624876169826392
175,m442,DAT,superficial,DAT superficial,somas,g91,88,0.0390625,,0.2406638659467394,0.28502366540736224
175,m442,DAT,superficial,DAT superficial,somas,g92,88,0.0390625,,0.048559632289018884,0.141041276842243
175,m442,DAT,superficial,DAT superficial,somas,g93,88,0.0390625,,0.1613862534066031,0.0563126031969872
175,m442,DAT,superficial,DAT superficial,somas,g94,88,0.0390625,,0.3258681172261095,0.19817281234530051
175,m442,DAT,superficial,DAT superficial,somas,g95,88,0.0390625,,-0.017294849058984024,0.03803192075180417
175,m442,DAT,superficial,DAT superficial,somas,g96,88,0.0390625,,-0.08084746625380242,0.09857127133496085
175,m442,DAT,superficial,DAT superficial,somas,g97,88,0.0390625,,0.3821800046517153,0.3446384149997943
175,m442,DAT,superficial,DAT superficial,somas,g98,88,0.0390625,,0.27475967750310465,0.3605679692114206
175,m442,DAT,superficial,DAT superficial,somas,g99,88,0.0390625,,0.34392143493326927,0.30351568522185374
175,m442,DAT,superficial,DAT superficial,somas,g100,88,0.0390625,,0.38277090464506147,0.1401166758515184
175,m442,DAT,superficial,DAT superficial,somas,g101,88,0.0390625,,0.29229265044000435,0.31070115577834184
175,m442,DAT,superficial,DAT superficial,somas,g102,88,0.0390625,,0.2708350432189395,0.17356081454458444
175,m442,DAT,superficial,DAT superficial,somas,g103,88,0.0390625,,0.3016676757075719,0.22719647773033097
175,m442,DAT,superficial,DAT superficial,somas,g104,88,0.0390625,,0.24341551964709796,0.27582168411872243
175,m442,DAT,superficial,DAT superficial,somas,g105,88,0.0390625,,0.2945945145931888,0.2483214089374572
175,m442,DAT,superficial,DAT superficial,somas,g106,88,0.0390625,,0.355986378080995,0.41115685198963664
175,m442,DAT,superficial,DAT superficial,somas,g107,88,0.0390625,,0.3572916497080881,0.2880792515386139
175,m442,DAT,superficial,DAT superficial,somas,g108,88,0.0390625,,-0.02428863554739521,0.11517886627311845
