group_id,mouse,line,depth_class,cohort,state,odor_id,unit_id,positive_auc_z_s_soma,negative_auc_z_s_soma,positive_auc_z_s_process,negative_auc_z_s_process
177,m442,DAT,superficial,DAT superficial,pre,18,g59,0.8822344136787981,0.8573967007292461,0.5808150574972055,1.3275663506230257
177,m442,DAT,superficial,DAT superficial,pre,18,g60,9.284852426282153,0.06711010859733581,5.248347216887182,0.09265898106285095
177,m442,DAT,superficial,DAT superficial,pre,18,g61,4.8115856684957885,0.01112999344791412,1.9717109858313844,0.5211759231395816
177,m442,DAT,superficial,DAT superficial,pre,18,g62,3.641958667912702,0.1359800116281223,6.376934394626081,0.2001329521216392
177,m442,DAT,superficial,DAT superficial,pre,18,g64,2.2547455880538516,0.6621382664108276,1.72784311776987,0.3868779561422681
177,m442,DAT,superficial,DAT superficial,pre,18,g66,3.1472596837181555,0.08398882315166471,1.7417424524534437,0.531717545715723
177,m442,DAT,superficial,DAT superficial,pre,18,g69,13.9440249678083,0.018471404285774224,8.390352262001608,0.06620845921142576
177,m442,DAT,superficial,DAT superficial,pre,18,g70,0.37035198583202344,2.1831444339107176,0.4696833134889793,2.9642076401924795
177,m442,DAT,superficial,DAT superficial,pre,18,g71,0.08193087506927488,2.464494561558509,0.9105832509590289,0.9775793607735015
177,m442,DAT,superficial,DAT superficial,pre,18,g72,6.126222083860157,0.08003238089996335,2.8716715520632548,0.24152608092440117
177,m442,DAT,superficial,DAT superficial,pre,18,g74,4.722748106151409,0.06304012238059044,0.9614217882620426,0.5710163271052694
177,m442,DAT,superficial,DAT superficial,pre,18,g75,3.3274011973759445,0.010876619944782256,1.4180852046864214,0.38135474269128794
177,m442,DAT,superficial,DAT superficial,pre,18,g76,0.11421418226543426,7.683424927242851,0.013651635539703368,4.947934679904499
177,m442,DAT,superficial,DAT superficial,pre,18,g78,0.405127483203764,3.5913463509096037,2.014955047026629,0.28817867953903203
177,m442,DAT,superficial,DAT superficial,pre,18,g80,2.2447881951897806,0.3695833726861952,2.442751141098761,0.18929457337500555
177,m442,DAT,superficial,DAT superficial,pre,18,g82,0.7509264940579603,3.8259952356198585,0.17802401717632763,3.010856314917068
177,m442,DAT,superficial,DAT superficial,pre,18,g83,0.06033823395904543,3.1706375334387014,0.16008339021080017,2.0666141521551125
177,m442,DAT,superficial,DAT superficial,pre,18,g84,0.4057272126436183,2.390969933318824,1.25849159532875,0.21499877974147794
177,m442,DAT,superficial,DAT superficial,pre,18,g85,0.4258111572859667,1.2834818362140366,0.21690691981457227,1.3250740631106372
177,m442,DAT,superficial,DAT superficial,pre,18,g86,2.1463458363372014,0.1304496107519745,1.0292358376633426,0.4358611076765975
177,m442,DAT,superficial,DAT superficial,pre,18,g88,5.017090026019478,0.021807811075286856,1.7757520521155543,0.21970460445663928
177,m442,DAT,superficial,DAT superficial,pre,18,g90,3.5840845685327034,0.04434377041571619,2.9985065748177626,0.1615723472956181
177,m442,DAT,superficial,DAT superficial,pre,18,g92,0.9414087253835676,1.4088740122992323,0.5511926270465967,0.6210160479593037
177,m442,DAT,superficial,DAT superficial,pre,18,g93,2.10469966790235,0.19819631322190745,1.9111645243246962,0.5288481423870562
177,m442,DAT,superficial,DAT superficial,pre,18,g94,2.227511995354099,0.3705889673533057,0.18183038461159223,1.206438938658514
177,m442,DAT,superficial,DAT superficial,pre,18,g95,0.831929191985035,1.0731715239491983,2.073715185691766,0.16618502966671939
177,m442,DAT,superficial,DAT superficial,pre,18,g96,0.01635209461658478,4.350079976506203,0.0440672927467346,2.3119656935930295
177,m442,DAT,superficial,DAT superficial,pre,18,g97,2.7209036795979014,0.3857605901408386,2.4725717560967158,0.43723449577072593
177,m442,DAT,superficial,DAT superficial,pre,18,g99,1.6168510891607375,0.29715540146281244,0.7160234431735606,0.5936727048227549
177,m442,DAT,superficial,DAT superficial,pre,18,g100,0.15216202321021552,2.4179893349257564,0.12905187027780532,3.35002406747692
177,m442,DAT,superficial,DAT superficial,pre,18,g101,2.5099606772168532,0.5493091772078632,0.8568455776987409,0.9594787361413618
177,m442,DAT,superficial,DAT superficial,pre,18,g103,38.19456993964593,0.19127681717617032,31.38538661763078,0.20349674415836333
177,m442,DAT,superficial,DAT superficial,pre,18,g104,0.27733610343227866,3.4388236703494752,0.688630109475088,1.6505552675038142
177,m442,DAT,superficial,DAT superficial,pre,18,g105,0.3584926473976849,1.9511420139063549,0.8834870068675514,0.9480058071605441
177,m442,DAT,superficial,DAT superficial,pre,18,g106,3.7129098242385865,0.17861962660406114,1.7586548836376947,0.4052755956406402
177,m442,DAT,superficial,DAT superficial,pre,18,g107,0.39416743113052366,3.6948680286981,3.9594465638448706,0.023509541206283565
177,m442,DAT,superficial,DAT superficial,pre,18,g108,6.258473891826779,0.12167231615798947,2.0163044561548373,0.1361631572042083
177,m442,DAT,superficial,DAT superficial,pre,18,g110,0.13977893453578946,5.191659243851535,0.016356537346572872,3.0259770288162504
177,m442,DAT,superficial,DAT superficial,pre,18,g111,0.8547570725218103,1.0832296218796207,4.28582198931916,0.06604446059646604
177,m442,DAT,superficial,DAT superficial,pre,18,g113,0.5081810219353293,3.2385982866452543,0.5890075414000511,1.8073214335184518
