group_id,mouse,line,depth_class,cohort,compartment,unit_id,state,n_odors,tuning_reliability_signed,tuning_reliability_excitation,tuning_reliability_suppression
238,m466,TH,deep,TH deep,processes,g378,pre,14,0.27274528113353913,-0.07692307692307693,0.2879239260523725
238,m466,TH,deep,TH deep,processes,g379,pre,14,0.4469805699413831,0.6499333793948718,0.5211393453319351
238,m466,TH,deep,TH deep,processes,g380,pre,14,-0.1626103269000549,-0.07752095054567444,-0.07512288919461939
238,m466,TH,deep,TH deep,processes,g381,pre,14,-0.44869464040881196,-0.07692307692307693,-0.43711622970287967
238,m466,TH,deep,TH deep,processes,g382,pre,14,-0.005570541884211784,-0.11197308551285053,0.02365214917296425
238,m466,TH,deep,TH deep,processes,g383,pre,14,0.20907827111349275,-0.15808880568433503,0.3181304550039694
238,m466,TH,deep,TH deep,processes,g384,pre,14,0.022493756561600596,-0.16460730502549423,0.1307862536034074
238,m466,TH,deep,TH deep,processes,g385,pre,14,0.29891905099530935,0.46233996125999566,0.29485348975450826
238,m466,TH,deep,TH deep,processes,g386,pre,14,0.5769393865740626,-0.11261478715501869,0.6104684332683065
238,m466,TH,deep,TH deep,processes,g387,pre,14,0.7116531363596271,0.5652214804662246,0.7200615132384218
238,m466,TH,deep,TH deep,processes,g388,pre,14,0.792617956199269,-0.07770111096164739,0.7987629535689009
238,m466,TH,deep,TH deep,processes,g389,pre,14,-0.2708994097823075,-0.16952434862295163,-0.18796549568255366
238,m466,TH,deep,TH deep,processes,g390,pre,14,0.31836918630845346,0.9982007774520169,0.1475585451205499
238,m466,TH,deep,TH deep,processes,g391,pre,14,0.10961045037185593,-0.07692307692307694,0.0898744417395814
238,m466,TH,deep,TH deep,processes,g392,pre,14,0.38097802456012736,-0.0769230769230769,0.41662147056218984
238,m466,TH,deep,TH deep,processes,g393,pre,14,0.19736580056779107,0.7110421244922374,0.14440350994383666
238,m466,TH,deep,TH deep,processes,g394,pre,14,-0.3066797371552686,-0.2088534873189523,-0.28920405149215545
238,m466,TH,deep,TH deep,processes,g395,pre,14,0.6067038831295402,0.6021119097094914,0.4192492212294581
238,m466,TH,deep,TH deep,processes,g396,pre,14,0.33666979330823077,-0.07692307692307693,0.336442931567728
238,m466,TH,deep,TH deep,processes,g397,pre,14,0.38704163855420304,0.7299318534323963,0.181509122968138
238,m466,TH,deep,TH deep,processes,g398,pre,14,0.499811270079471,-0.02851983195045053,0.48117007294150294
238,m466,TH,deep,TH deep,processes,g399,pre,14,0.3296819101722338,-0.10041731883984714,0.312199080456838
238,m466,TH,deep,TH deep,processes,g400,pre,14,0.03060434206225488,-0.11239408783756395,0.10025610631338763
238,m466,TH,deep,TH deep,processes,g401,pre,14,0.2990701675967985,0.5527335337574554,0.1252431547765775
238,m466,TH,deep,TH deep,processes,g402,pre,14,0.17692467370157083,0.013399016594827772,0.21840836416808254
238,m466,TH,deep,TH deep,processes,g403,pre,14,0.3494870520652633,-0.1387222000630807,0.4492811577234125
238,m466,TH,deep,TH deep,processes,g404,pre,14,0.4918078343370583,1.0000000000000004,0.4552909831893781
238,m466,TH,deep,TH deep,processes,g405,pre,14,0.44806096157268516,0.5105550558619962,0.2530579053297606
238,m466,TH,deep,TH deep,processes,g406,pre,14,0.4962463116904293,-0.13994720444498335,0.6109289993335787
238,m466,TH,deep,TH deep,processes,g407,pre,14,0.250530872065999,-0.14181003622210894,0.3070089575507308
238,m466,TH,deep,TH deep,processes,g408,pre,14,0.2621320960088257,-0.07692307692307693,0.34739619975172575
238,m466,TH,deep,TH deep,processes,g409,pre,14,-0.09811100773873105,-0.08120306096014583,-0.059393471343732844
238,m466,TH,deep,TH deep,processes,g410,pre,14,0.3917861197086236,0.13084505115335043,0.47288756258261005
238,m466,TH,deep,TH deep,processes,g411,pre,14,0.4239981805490709,0.3862118772149308,0.3661188251400825
238,m466,TH,deep,TH deep,processes,g412,pre,14,0.09058325865846693,,0.08471490717618979
238,m466,TH,deep,TH deep,processes,g413,pre,14,-0.2894486232724918,-0.10400834251003424,-0.22431527718506833
238,m466,TH,deep,TH deep,processes,g414,pre,14,0.4303225758650162,-0.0813894406023016,0.4910584143710515
238,m466,TH,deep,TH deep,processes,g415,pre,14,0.5072031879920176,-0.07539857139119138,0.652279280868024
238,m466,TH,deep,TH deep,processes,g416,pre,14,-0.04703015277435128,-0.15343242848753008,-0.009883937690139184
238,m466,TH,deep,TH deep,processes,g417,pre,14,0.4368781331706891,0.3139510912157861,0.3974263604822831
238,m466,TH,deep,TH deep,processes,g418,pre,14,-0.22524411330221328,-0.10154260625285909,-0.1950495486855655
238,m466,TH,deep,TH deep,processes,g419,pre,14,0.30931319814758534,0.7924041985572754,0.03645632118337282
238,m466,TH,deep,TH deep,processes,g420,pre,14,0.47634431097294894,0.27636756572711496,0.4512578573929832
238,m466,TH,deep,TH deep,processes,g421,pre,14,0.4291924595507688,0.48447739216588903,0.41686428145817805
238,m466,TH,deep,TH deep,processes,g422,pre,14,0.548295750312427,0.5593994044873576,0.33607973938596464
238,m466,TH,deep,TH deep,processes,g423,pre,14,0.1326314812717116,0.10533124711427144,0.10169466604635075
238,m466,TH,deep,TH deep,processes,g424,pre,14,0.5322159433628175,0.010092243951499606,0.5333800318540926
238,m466,TH,deep,TH deep,processes,g425,pre,14,0.5128852364350394,0.5717206166153719,0.4377415792181706
238,m466,TH,deep,TH deep,processes,g426,pre,14,0.26318776874749916,0.964745363623423,0.22384735400439887
238,m466,TH,deep,TH deep,processes,g427,pre,14,0.3705355788988275,0.43385307262419603,0.054622183312206446
238,m466,TH,deep,TH deep,processes,g428,pre,14,0.08433882543054555,0.08123683255326067,0.07874085858466459
238,m466,TH,deep,TH deep,processes,g429,pre,14,0.41239873653301373,0.01759892335035121,0.49032247327790646
238,m466,TH,deep,TH deep,processes,g430,pre,14,-0.021211011913328952,0.09857775099254963,-0.17236743372878513
238,m466,TH,deep,TH deep,processes,g431,pre,14,0.5358262156209319,0.33204539801232913,0.5532639068877108
238,m466,TH,deep,TH deep,processes,g432,pre,14,-0.06436360040528516,-0.208959160434744,-0.12362250627134534
238,m466,TH,deep,TH deep,processes,g433,pre,14,0.22818284461055943,0.24493816783555278,0.18596961585655453
238,m466,TH,deep,TH deep,processes,g434,pre,14,0.24138616877857708,0.032142459432822526,0.18854167240494885
238,m466,TH,deep,TH deep,processes,g435,pre,14,0.5374386755832434,0.38948489106093226,0.5442534493222497
238,m466,TH,deep,TH deep,processes,g436,pre,14,0.181891588956953,-0.1496066144430648,0.16469421566265163
238,m466,TH,deep,TH deep,processes,g437,pre,14,-0.06151978117327969,0.26852606159396386,-0.3246643574578399
238,m466,TH,deep,TH deep,processes,g438,pre,14,-0.35951136527855,-0.2649290950656941,-0.34629480333831353
238,m466,TH,deep,TH deep,processes,g439,pre,14,0.23805682189002192,-0.10014905263861129,0.2445517646202871
238,m466,TH,deep,TH deep,processes,g440,pre,14,-0.06943241787203755,0.5881075142975956,-0.2363637577812424
238,m466,TH,deep,TH deep,processes,g441,pre,14,0.29948188296482287,0.27519591537122795,0.2625383785326991
238,m466,TH,deep,TH deep,processes,g442,pre,14,0.2728902194365212,0.05896440924675992,0.36624005105780805
238,m466,TH,deep,TH deep,processes,g443,pre,14,0.007514688911532985,-0.1006771370920114,0.0001429117990370322
238,m466,TH,deep,TH deep,processes,g444,pre,14,-0.10505788974642327,-0.1349460520522829,0.12721969919791654
238,m466,TH,deep,TH deep,processes,g445,pre,14,0.0735168131086799,0.390762939066818,-0.16812042599754295
238,m466,TH,deep,TH deep,processes,g446,pre,14,0.01142695203094489,0.4041131439732427,-0.13058974168880758
238,m466,TH,deep,TH deep,processes,g447,pre,14,0.8467124131300185,0.9075982095735651,0.841121055428664
238,m466,TH,deep,TH deep,processes,g448,pre,14,0.2887938377956947,0.25373877716040005,0.24007156500944293
238,m466,TH,deep,TH deep,processes,g449,pre,14,0.4555635248712244,0.34917840199780437,0.4233199664562328
238,m466,TH,deep,TH deep,processes,g450,pre,14,-0.04048868821680597,-0.1649477070582792,-0.05827187037723641
238,m466,TH,deep,TH deep,processes,g451,pre,14,0.14688714698366107,0.17683910527682128,0.10402333144537752
238,m466,TH,deep,TH deep,processes,g452,pre,14,0.5474795429462322,0.7313103725361855,0.3875334035271466
238,m466,TH,deep,TH deep,processes,g453,pre,14,0.6520819406876515,0.5970359999072343,0.5462961735413763
238,m466,TH,deep,TH deep,processes,g454,pre,14,-0.03429581614348789,-0.08096231848101565,0.057448954879026404
238,m466,TH,deep,TH deep,processes,g455,pre,14,0.4211229627040207,0.4290012670820935,0.3586447910859884
238,m466,TH,deep,TH deep,processes,g456,pre,14,-0.04118215769481624,0.3161728381958062,-0.18035497708632398
238,m466,TH,deep,TH deep,processes,g457,pre,14,0.5208013302470029,0.044389598823407955,0.598245271251156
238,m466,TH,deep,TH deep,processes,g458,pre,14,0.43062332508547985,0.588212422851705,0.3539081317714967
238,m466,TH,deep,TH deep,processes,g459,pre,14,0.2147524129769476,-0.08020739647581232,0.1977110674286663
238,m466,TH,deep,TH deep,processes,g460,pre,14,-0.3434510437637993,-0.07692307692307693,-0.3733815049176191
