group_id,mouse,line,depth_class,cohort,compartment,state,unit_id,excitation_auc_lifetime_sparseness,suppression_auc_lifetime_sparseness,median_positive_auc_z_s,median_negative_auc_z_s
175,m442,DAT,superficial,DAT superficial,processes,post,g199,0.17169885924972994,0.17237509091465003,0.8591469404624066,0.7866625724617927
175,m442,DAT,superficial,DAT superficial,processes,post,g2,0.30502534789591884,0.44144934728482776,2.981047359483627,0.24939103089994802
175,m442,DAT,superficial,DAT superficial,processes,post,g202,0.9234840041176219,0.4321358758878245,1.8053199495389733,0.3997434747155481
175,m442,DAT,superficial,DAT superficial,processes,post,g206,0.9161427981762655,0.10846966249077541,0.7664998342604125,0.9410886359602654
175,m442,DAT,superficial,DAT superficial,processes,post,g207,0.10263664030271993,0.18455271653388153,1.156274356421498,0.5681600015565097
175,m442,DAT,superficial,DAT superficial,processes,post,g208,0.9335447058626095,0.24674160283789048,1.17346432541466,0.5366273182646097
175,m442,DAT,superficial,DAT superficial,processes,post,g212,0.8211349012775468,0.29100666242457374,3.1225429719391227,0.2563683664759295
175,m442,DAT,superficial,DAT superficial,processes,post,g214,0.5518999390078995,0.4567940114415148,1.3315485943840975,0.4988563687694021
175,m442,DAT,superficial,DAT superficial,processes,post,g218,0.2869280526102074,0.1472145709973783,0.9340489670112387,0.7243285195664415
175,m442,DAT,superficial,DAT superficial,processes,post,g219,0.8479716514011877,0.577232327685815,3.039569244241235,0.21620148606415285
175,m442,DAT,superficial,DAT superficial,processes,post,g22,0.5426141985706907,0.31401732993279335,1.2602408051491547,0.6581876028742326
175,m442,DAT,superficial,DAT superficial,processes,post,g220,0.9325869309186614,0.4869025348978167,1.4437969616874513,0.3985649462579418
175,m442,DAT,superficial,DAT superficial,processes,post,g224,0.7038528344724221,0.19601922227664262,1.0829372052175472,0.7143823221311318
175,m442,DAT,superficial,DAT superficial,processes,post,g229,0.5398694726415287,0.3144778077923966,1.179265979534188,0.5290231354432975
175,m442,DAT,superficial,DAT superficial,processes,post,g23,0.3529642807847456,0.11473430905514512,1.2457924070626951,0.5847836400736851
175,m442,DAT,superficial,DAT superficial,processes,post,g231,0.952736428540395,0.2432610500033297,0.8983367050211182,0.6827983130506117
175,m442,DAT,superficial,DAT superficial,processes,post,g233,0.735005436780224,0.5686225941089839,12.215412442058428,0.24236230270159254
175,m442,DAT,superficial,DAT superficial,processes,post,g234,0.7855525977008516,0.12970222590023223,0.9295736847224821,0.8064031288639032
175,m442,DAT,superficial,DAT superficial,processes,post,g236,0.5728227667450517,0.6936404801616695,23.41725481215202,0.09196707080168516
175,m442,DAT,superficial,DAT superficial,processes,post,g237,0.1411487676069609,0.09686813703345962,0.8061895115325188,0.9618667637265444
175,m442,DAT,superficial,DAT superficial,processes,post,g238,0.22276699157521027,0.08765540315750216,0.8527021656351352,0.8589572716273123
175,m442,DAT,superficial,DAT superficial,processes,post,g239,0.21794544188571094,0.07914053525570824,0.8174692256246687,0.9872971765703891
175,m442,DAT,superficial,DAT superficial,processes,post,g24,0.7118379867119987,0.3205812487725203,1.838475482872948,0.35122450477592365
175,m442,DAT,superficial,DAT superficial,processes,post,g240,0.29801337357028906,0.3486095965957661,1.2044646628685558,0.5171342574626522
175,m442,DAT,superficial,DAT superficial,processes,post,g241,0.3378968035729395,0.07815761792285812,0.6698716103457709,0.9205059744046674
175,m442,DAT,superficial,DAT superficial,processes,post,g242,0.6365747349944361,0.14741506408644467,0.824974455751349,0.8578124362879781
175,m442,DAT,superficial,DAT superficial,processes,post,g243,0.2516647379265343,0.04280426144609162,0.5325801384636915,1.3721558511614063
175,m442,DAT,superficial,DAT superficial,processes,post,g244,0.21059022230902308,0.033538836887853876,0.6232197226351004,1.0661977039074724
175,m442,DAT,superficial,DAT superficial,processes,post,g245,0.14108400889454922,0.04242066328208017,0.6627522523912093,1.0282730277272882
175,m442,DAT,superficial,DAT superficial,processes,post,g246,0.3389932522504648,0.05878243383052436,0.6586104249162441,1.1167661049134818
175,m442,DAT,superficial,DAT superficial,processes,post,g247,0.11814039871347655,0.0727306325232507,1.1358230336915265,0.5732008698815754
175,m442,DAT,superficial,DAT superficial,processes,post,g248,0.17409542558917265,0.11879715562753611,0.8134368091320581,1.1950168338741938
175,m442,DAT,superficial,DAT superficial,processes,post,g249,0.10291814476413014,0.11200989488838345,1.3084764309636905,0.5783666300007335
