group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,suppression_vs_pupil_rho,suppression_vs_running_rho,excitation_vs_pupil_rho,excitation_vs_running_rho
175,m442,DAT,superficial,DAT superficial,somas,g34,88,0.06896551724137931,0.07302967433402215,-0.08076372538509137,-0.474692883171144,0.37315806221212366
175,m442,DAT,superficial,DAT superficial,somas,g35,88,0.06896551724137931,0.4016632088371218,-0.4471396548277688,-0.4199206274206274,0.43168627019247513
175,m442,DAT,superficial,DAT superficial,somas,g36,88,0.06896551724137931,-0.31037611591959413,0.36272515591374493,-0.4016632088371218,-0.3579424897085785
175,m442,DAT,superficial,DAT superficial,somas,g37,88,0.06896551724137931,0.4199206274206274,-0.1560834686835384,-0.5294651389216606,0.4746906306836814
175,m442,DAT,superficial,DAT superficial,somas,g38,88,0.06896551724137931,0.03651483716701107,-0.07550917932273865,0.3286335345030996,-0.04274452871762916
175,m442,DAT,superficial,DAT superficial,somas,g39,88,0.06896551724137931,0.4016632088371218,-0.41205796146648366,-0.2556038601690775,0.529905013883004
175,m442,DAT,superficial,DAT superficial,somas,g40,88,0.06896551724137931,-0.3468909530866052,-0.055358354579353786,0.018257418583505537,0.09412956488879103
175,m442,DAT,superficial,DAT superficial,somas,g41,88,0.06896551724137931,-0.237346441585572,-0.03170388030478182,-0.511207720338155,-0.010107015599315776
175,m442,DAT,superficial,DAT superficial,somas,g42,88,0.06896551724137931,0.18257418583505539,-0.19020209968496207,-0.43817804600413285,0.25238913463912294
175,m442,DAT,superficial,DAT superficial,somas,g43,88,0.06896551724137931,-0.12780193008453875,-0.038080768578337046,0.1460593486680443,0.2755626056995149
175,m442,DAT,superficial,DAT superficial,somas,g44,88,0.06896551724137931,0.2008316044185609,-0.20607742394526468,-0.474692883171144,0.43438147435229263
175,m442,DAT,superficial,DAT superficial,somas,g45,88,0.06896551724137931,0.5659799760886717,0.1022024156009381,-0.2556038601690775,0.049394460549858715
175,m442,DAT,superficial,DAT superficial,somas,g46,88,0.06896551724137931,0.4564354645876384,-0.27614954411413895,-0.6390096504226939,0.4823622738967569
175,m442,DAT,superficial,DAT superficial,somas,g47,88,0.06896551724137931,-0.3286335345030996,-0.06170865941090301,-0.18257418583505539,0.3379310392147698
175,m442,DAT,superficial,DAT superficial,somas,g48,88,0.06896551724137931,0.1460593486680443,-0.3337649229808035,-0.2008316044185609,0.4838067624007114
175,m442,DAT,superficial,DAT superficial,somas,g49,88,0.06896551724137931,0.054772255750516606,-0.015567955321640717,-0.4564354645876384,-0.02248645823534046
175,m442,DAT,superficial,DAT superficial,somas,g50,88,0.06896551724137931,0.7668115805072325,-0.209125863197576,-0.6207522318391883,0.3341568726053521
175,m442,DAT,superficial,DAT superficial,somas,g51,88,0.06896551724137931,0.1643167672515498,-0.1733166008327113,-0.2008316044185609,0.30863746671887543
175,m442,DAT,superficial,DAT superficial,somas,g52,88,0.06896551724137931,-0.12780193008453875,-0.11138611806054223,-0.3286335345030996,0.4162901366259356
175,m442,DAT,superficial,DAT superficial,somas,g53,88,0.06896551724137931,0.4016632088371218,-0.5431629089138172,-0.21908902300206642,0.714418471271374
175,m442,DAT,superficial,DAT superficial,somas,g54,88,0.06896551724137931,-0.0733358797622569,-0.13186546995287166,-0.36514837167011077,0.30978112910112
175,m442,DAT,superficial,DAT superficial,somas,g55,88,0.06896551724137931,-0.09128709291752769,-0.08759931055890018,-0.3286335345030996,0.32859615795442726
175,m442,DAT,superficial,DAT superficial,somas,g56,88,0.06896551724137931,-0.474692883171144,0.040991945723856234,-0.38340579025361626,0.38379354921532516
175,m442,DAT,superficial,DAT superficial,somas,g57,88,0.06896551724137931,-0.1643167672515498,0.00743383108132681,-0.36514837167011077,-0.2880005675287175
175,m442,DAT,superficial,DAT superficial,somas,g58,88,0.06896551724137931,-0.1643167672515498,-0.0409849425294462,0.03651483716701107,0.3139560531918178
175,m442,DAT,superficial,DAT superficial,somas,g59,88,0.06896551724137931,0.31037611591959413,0.29040384429197424,-0.10954451150103321,-0.09098956396403628
175,m442,DAT,superficial,DAT superficial,somas,g60,88,0.06896551724137931,-0.2008316044185609,0.01752763489554544,-0.18257418583505539,0.07012846408537675
