group_id,mouse,line,depth_class,cohort,compartment,unit_id,state,baseline_f,f0_log2_post_pre
175,m442,DAT,superficial,DAT superficial,somas,g157,post,452.89825439453125,-3.521131624583748
175,m442,DAT,superficial,DAT superficial,somas,g158,post,918.1376342773438,-1.6221334129019942
175,m442,DAT,superficial,DAT superficial,somas,g159,post,822.3050537109375,-1.9407008813276605
175,m442,DAT,superficial,DAT superficial,somas,g160,post,650.8648071289062,-2.077286047894118
175,m442,DAT,superficial,DAT superficial,somas,g161,post,1192.48095703125,-1.584937788070784
175,m442,DAT,superficial,DAT superficial,somas,g162,post,495.3213806152344,-2.4838651672179033
175,m442,DAT,superficial,DAT superficial,somas,g163,post,722.65771484375,-2.800868159820042
175,m442,DAT,superficial,DAT superficial,somas,g164,post,484.099609375,-2.743004281615298
175,m442,DAT,superficial,DAT superficial,somas,g165,post,666.8760986328125,-2.576591320756791
175,m442,DAT,superficial,DAT superficial,somas,g166,post,330.6540222167969,-3.0430052104528524
175,m442,DAT,superficial,DAT superficial,somas,g167,post,632.9140014648438,-2.275169824383954
175,m442,DAT,superficial,DAT superficial,somas,g168,post,370.36614990234375,-1.8650687929466505
175,m442,DAT,superficial,DAT superficial,somas,g169,post,532.5530395507812,-2.6411826010849557
175,m442,DAT,superficial,DAT superficial,somas,g170,post,737.7279663085938,-1.987618579393693
175,m442,DAT,superficial,DAT superficial,somas,g171,post,1256.199462890625,-1.3879489072576454
175,m442,DAT,superficial,DAT superficial,somas,g172,post,610.27783203125,-2.27373457690481
175,m442,DAT,superficial,DAT superficial,somas,g173,post,1312.80712890625,-2.871963256505054
175,m442,DAT,superficial,DAT superficial,somas,g174,post,1419.3167724609375,-0.7689371849586494
175,m442,DAT,superficial,DAT superficial,somas,g175,post,562.8095092773438,-2.696665837439635
175,m442,DAT,superficial,DAT superficial,somas,g176,post,756.0398559570312,-2.473751139499043
175,m442,DAT,superficial,DAT superficial,somas,g177,post,575.8721923828125,-1.9088740307180767
175,m442,DAT,superficial,DAT superficial,somas,g178,post,1274.8956298828125,-1.0962129802968172
175,m442,DAT,superficial,DAT superficial,somas,g179,post,1205.3785400390625,-1.177944396541837
175,m442,DAT,superficial,DAT superficial,somas,g180,post,484.10504150390625,-1.0875755567517467
175,m442,DAT,superficial,DAT superficial,somas,g181,post,1354.91943359375,-0.7217055687180345
175,m442,DAT,superficial,DAT superficial,somas,g182,post,774.1853637695312,-1.221779351287341
175,m442,DAT,superficial,DAT superficial,somas,g183,post,483.38525390625,-1.5433581225485695
175,m442,DAT,superficial,DAT superficial,somas,g184,post,959.4766235351562,-1.2387024949325849
175,m442,DAT,superficial,DAT superficial,somas,g185,post,526.448974609375,-1.0037544999929031
175,m442,DAT,superficial,DAT superficial,somas,g186,post,1247.2054443359375,-1.227460534356466
175,m442,DAT,superficial,DAT superficial,somas,g187,post,1485.163330078125,-1.1427596525683816
175,m442,DAT,superficial,DAT superficial,somas,g188,post,1892.5194091796875,-1.1325263599295992
175,m442,DAT,superficial,DAT superficial,somas,g189,post,2748.07666015625,-0.4584439769401861
175,m442,DAT,superficial,DAT superficial,somas,g190,post,798.8587036132812,-1.6964097806376839
175,m442,DAT,superficial,DAT superficial,somas,g191,post,1010.2984619140625,-1.4593480876129596
175,m442,DAT,superficial,DAT superficial,somas,g192,post,969.0115356445312,-1.8765310531666106
175,m442,DAT,superficial,DAT superficial,somas,g193,post,787.4852905273438,-0.609563947634755
175,m442,DAT,superficial,DAT superficial,somas,g194,post,1048.878173828125,-1.8970376087768042
175,m442,DAT,superficial,DAT superficial,somas,g195,post,996.8004760742188,-1.1000566250136776
175,m442,DAT,superficial,DAT superficial,somas,g196,post,1949.845458984375,-1.6016739678251237
175,m442,DAT,superficial,DAT superficial,somas,g197,post,1495.9058837890625,-1.5543158493337226
175,m442,DAT,superficial,DAT superficial,somas,g198,post,1746.2406005859375,-1.6056016857403834
175,m442,DAT,superficial,DAT superficial,somas,g199,post,1560.5662841796875,-1.4367077936489276
175,m442,DAT,superficial,DAT superficial,somas,g200,post,1927.77587890625,-1.8983888351124882
175,m442,DAT,superficial,DAT superficial,somas,g201,post,839.209228515625,-3.1934306570635953
175,m442,DAT,superficial,DAT superficial,somas,g202,post,856.4822387695312,-2.108688918406803
175,m442,DAT,superficial,DAT superficial,somas,g203,post,2579.23779296875,-1.722891970556321
175,m442,DAT,superficial,DAT superficial,somas,g204,post,524.1497192382812,-3.1353647383902103
175,m442,DAT,superficial,DAT superficial,somas,g205,post,208.41175842285156,-3.5235076584841707
175,m442,DAT,superficial,DAT superficial,somas,g206,post,211.83096313476562,-3.4553088003332952
175,m442,DAT,superficial,DAT superficial,somas,g207,post,928.5361328125,-2.3065215447743754
175,m442,DAT,superficial,DAT superficial,somas,g208,post,407.3392639160156,-2.010139582748886
175,m442,DAT,superficial,DAT superficial,somas,g209,post,181.9576873779297,-3.2941031395004665
175,m442,DAT,superficial,DAT superficial,somas,g210,post,337.1950378417969,-2.8946031988863514
175,m442,DAT,superficial,DAT superficial,somas,g211,post,325.9727783203125,-3.3354598760219716
175,m442,DAT,superficial,DAT superficial,somas,g212,post,489.621337890625,-2.112367781476013
175,m442,DAT,superficial,DAT superficial,somas,g213,post,721.95654296875,-1.7097584101750147
175,m442,DAT,superficial,DAT superficial,somas,g214,post,576.8204956054688,-2.666211315764471
175,m442,DAT,superficial,DAT superficial,somas,g215,post,1127.516845703125,-2.5708907701268617
175,m442,DAT,superficial,DAT superficial,somas,g216,post,1444.6312255859375,-2.0933968927121667
