group_id,mouse,line,depth_class,cohort,compartment,state,odor_id,population_pattern_reliability,n_trials
212,m462,TH,deep,TH deep,processes,pre,18,0.7997944951057434,8
212,m462,TH,deep,TH deep,processes,pre,21,0.7294710874557495,5
212,m462,TH,deep,TH deep,processes,pre,22,0.9445063471794128,5
212,m462,TH,deep,TH deep,processes,pre,30,0.9690506458282471,8
212,m462,TH,deep,TH deep,processes,pre,31,0.9751496315002441,7
212,m462,TH,deep,TH deep,processes,pre,32,0.9713761210441589,6
212,m462,TH,deep,TH deep,processes,pre,39,0.7136093378067017,9
212,m462,TH,deep,TH deep,processes,pre,40,0.7646155953407288,7
196,m472,DAT,superficial,DAT superficial,somas,post,1,0.7873109579086304,6
196,m472,DAT,superficial,DAT superficial,somas,post,2,0.8913813829421997,10
196,m472,DAT,superficial,DAT superficial,somas,post,3,0.8581241965293884,10
196,m472,DAT,superficial,DAT superficial,somas,post,4,0.5810731053352356,7
196,m472,DAT,superficial,DAT superficial,somas,post,10,0.7399386763572693,7
196,m472,DAT,superficial,DAT superficial,somas,post,12,0.9145363569259644,7
196,m472,DAT,superficial,DAT superficial,somas,post,17,0.9168097972869873,7
196,m472,DAT,superficial,DAT superficial,somas,post,18,0.9041807055473328,5
196,m472,DAT,superficial,DAT superficial,somas,post,21,0.8677700161933899,4
196,m472,DAT,superficial,DAT superficial,somas,post,22,0.910769522190094,8
196,m472,DAT,superficial,DAT superficial,somas,post,30,0.9481167793273926,5
196,m472,DAT,superficial,DAT superficial,somas,post,31,0.9601935148239136,11
196,m472,DAT,superficial,DAT superficial,somas,post,32,0.9661697149276733,8
196,m472,DAT,superficial,DAT superficial,somas,post,39,0.9210788607597351,6
196,m472,DAT,superficial,DAT superficial,somas,post,40,0.8938947916030884,4
196,m472,DAT,superficial,DAT superficial,somas,pre,1,0.9470776319503784,9
196,m472,DAT,superficial,DAT superficial,somas,pre,2,0.7952500581741333,6
196,m472,DAT,superficial,DAT superficial,somas,pre,3,0.9362662434577942,8
196,m472,DAT,superficial,DAT superficial,somas,pre,4,0.9054293036460876,9
196,m472,DAT,superficial,DAT superficial,somas,pre,10,0.8888314366340637,6
196,m472,DAT,superficial,DAT superficial,somas,pre,12,0.9138963222503662,7
196,m472,DAT,superficial,DAT superficial,somas,pre,17,0.9202636480331421,6
196,m472,DAT,superficial,DAT superficial,somas,pre,18,0.9221564531326294,5
196,m472,DAT,superficial,DAT superficial,somas,pre,21,0.8747729063034058,6
196,m472,DAT,superficial,DAT superficial,somas,pre,22,0.9455137252807617,6
196,m472,DAT,superficial,DAT superficial,somas,pre,30,0.9162119626998901,7
