group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine,seconds_accumulated,cumulative_crossnobis
195,m466,TH,post,39-40,11,5,0.15295710188151032,0.039156659639142354,0.08181518316268921,2,0.16369261211593844
195,m466,TH,post,39-40,11,5,0.15295710188151032,0.039156659639142354,0.08181518316268921,3,0.17610566040363648
195,m466,TH,post,39-40,11,5,0.15295710188151032,0.039156659639142354,0.08181518316268921,4,0.1443568440753985
231,m462,TH,pre,17-18,4,5,0.25125942275939905,0.3919073314749024,0.09160488843917847,1,-0.2343166298821432
231,m462,TH,pre,17-18,4,5,0.25125942275939905,0.3919073314749024,0.09160488843917847,2,-0.11977819637089276
231,m462,TH,pre,17-18,4,5,0.25125942275939905,0.3919073314749024,0.09160488843917847,3,-0.05582027274836825
231,m462,TH,pre,17-18,4,5,0.25125942275939905,0.3919073314749024,0.09160488843917847,4,0.2396435328789056
231,m462,TH,pre,31-32,6,4,-0.25718036640041925,-0.16427940612457725,0.006523847579956055,1,-0.28480738612365786
231,m462,TH,pre,31-32,6,4,-0.25718036640041925,-0.16427940612457725,0.006523847579956055,2,-0.2926969203534207
231,m462,TH,pre,31-32,6,4,-0.25718036640041925,-0.16427940612457725,0.006523847579956055,3,-0.4551280846538212
231,m462,TH,pre,31-32,6,4,-0.25718036640041925,-0.16427940612457725,0.006523847579956055,4,-0.2946113300152574
231,m462,TH,pre,39-40,9,6,0.019435289793718155,0.027088727975784755,0.014549672603607178,1,-0.03189393457925524
231,m462,TH,pre,39-40,9,6,0.019435289793718155,0.027088727975784755,0.014549672603607178,2,-0.11131388589777029
231,m462,TH,pre,39-40,9,6,0.019435289793718155,0.027088727975784755,0.014549672603607178,3,0.0264134612096949
231,m462,TH,pre,39-40,9,6,0.019435289793718155,0.027088727975784755,0.014549672603607178,4,0.03096972652416183
231,m462,TH,post,17-18,6,6,1.0069827804389204,0.7340921900315603,0.037120163440704346,1,0.9540199830415383
231,m462,TH,post,17-18,6,6,1.0069827804389204,0.7340921900315603,0.037120163440704346,2,1.1850911097980812
231,m462,TH,post,17-18,6,6,1.0069827804389204,0.7340921900315603,0.037120163440704346,3,1.0245235414788918
231,m462,TH,post,17-18,6,6,1.0069827804389204,0.7340921900315603,0.037120163440704346,4,0.883511592100144
231,m462,TH,post,31-32,5,6,0.23565444363070517,0.15157029019971432,0.014511823654174805,1,-0.13151497474925886
231,m462,TH,post,31-32,5,6,0.23565444363070517,0.15157029019971432,0.014511823654174805,2,-0.11393666212911559
231,m462,TH,post,31-32,5,6,0.23565444363070517,0.15157029019971432,0.014511823654174805,3,-0.09519427140593709
231,m462,TH,post,31-32,5,6,0.23565444363070517,0.15157029019971432,0.014511823654174805,4,0.10443447881942497
231,m462,TH,post,39-40,9,8,0.5572531158346204,0.35973565679819663,0.00806879997253418,1,0.01566904945032314
231,m462,TH,post,39-40,9,8,0.5572531158346204,0.35973565679819663,0.00806879997253418,2,0.39176758030405
231,m462,TH,post,39-40,9,8,0.5572531158346204,0.35973565679819663,0.00806879997253418,3,0.47597495615759383
231,m462,TH,post,39-40,9,8,0.5572531158346204,0.35973565679819663,0.00806879997253418,4,0.5617808529670507
232,m465,TH,pre,17-18,13,6,-0.06782324779630285,-0.07365370939739861,0.009991705417633057,1,0.11668381189755925
232,m465,TH,pre,17-18,13,6,-0.06782324779630285,-0.07365370939739861,0.009991705417633057,2,-0.0432355264933211
232,m465,TH,pre,17-18,13,6,-0.06782324779630285,-0.07365370939739861,0.009991705417633057,3,-0.0422231815693664
232,m465,TH,pre,17-18,13,6,-0.06782324779630285,-0.07365370939739861,0.009991705417633057,4,-0.1079286259717608
232,m465,TH,pre,31-32,8,3,0.014845612343194871,-0.07146019371785098,0.0046520233154296875,1,-0.20899159070888945
232,m465,TH,pre,31-32,8,3,0.014845612343194871,-0.07146019371785098,0.0046520233154296875,2,-0.03863812565700764
232,m465,TH,pre,31-32,8,3,0.014845612343194871,-0.07146019371785098,0.0046520233154296875,3,0.013963546208400044
232,m465,TH,pre,31-32,8,3,0.014845612343194871,-0.07146019371785098,0.0046520233154296875,4,0.023099381218420444
232,m465,TH,pre,39-40,8,5,0.15592600816098348,0.0023935135489899216,0.09551763534545898,1,0.039721213393845864
232,m465,TH,pre,39-40,8,5,0.15592600816098348,0.0023935135489899216,0.09551763534545898,2,0.18365867421599724
232,m465,TH,pre,39-40,8,5,0.15592600816098348,0.0023935135489899216,0.09551763534545898,3,0.13006097935162633
232,m465,TH,pre,39-40,8,5,0.15592600816098348,0.0023935135489899216,0.09551763534545898,4,0.1428954768093961
232,m465,TH,post,17-18,5,3,0.3417447958480991,0.5450643308238238,0.012727737426757812,1,-0.052043230421057865
232,m465,TH,post,17-18,5,3,0.3417447958480991,0.5450643308238238,0.012727737426757812,2,0.2833627764260427
232,m465,TH,post,17-18,5,3,0.3417447958480991,0.5450643308238238,0.012727737426757812,3,0.06665200703135382
