group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine
217,m426,Thy1,post,39-40,6,3,0.27645915390879006,0.19100955524221067,0.016412436962127686
218,m496,DAT,pre,17-18,7,6,-0.017477591187000884,-0.007450916547953538,0.017320692539215088
218,m496,DAT,pre,31-32,8,5,0.4873259492478058,0.43469486564257626,0.022710680961608887
218,m496,DAT,pre,39-40,4,4,6.08364138792356,3.2366126488507807,0.16307544708251953
218,m496,DAT,post,17-18,5,7,0.0678595374256227,0.08691082232374202,0.022358477115631104
218,m496,DAT,post,31-32,7,4,0.2646590857805392,0.20316513306650963,0.029589474201202393
218,m496,DAT,post,39-40,4,4,0.8393332146569328,1.0468707032756697,0.042605042457580566
219,m357,TH,pre,17-18,9,5,-0.3963301617342115,0.09787628101835064,0.01097959280014038
219,m357,TH,pre,31-32,5,6,0.6015452397345218,0.4575358213200477,0.004216313362121582
219,m357,TH,pre,39-40,10,4,0.46637791600762085,0.3177288230800001,0.07261049747467041
219,m357,TH,post,17-18,8,7,-0.11498234333392957,-0.051029857180640424,0.010846436023712158
219,m357,TH,post,31-32,8,6,-0.06209835238641775,0.2179841427905406,0.009201884269714355
219,m357,TH,post,39-40,5,5,2.957823228807276,2.2208945784831275,0.07824510335922241
220,m392,Thy1,pre,17-18,7,4,1.1745649000952936,0.5414477206239905,0.01656728982925415
220,m392,Thy1,pre,31-32,7,7,0.24094675230669876,0.3921878222122141,0.01370018720626831
220,m392,Thy1,pre,39-40,6,4,2.560662297911134,1.9922032811857155,0.1171756386756897
220,m392,Thy1,post,17-18,5,6,0.3746185554808157,0.353264850616923,0.014806926250457764
220,m392,Thy1,post,31-32,4,7,0.22120275916950422,0.236232555586555,0.015775084495544434
220,m392,Thy1,post,39-40,6,3,4.48775970736611,2.7873698748645612,0.05764877796173096
221,m426,Thy1,pre,17-18,5,4,0.4037360805518253,0.6614845134102101,0.0209963321685791
221,m426,Thy1,pre,31-32,9,3,0.722432755246297,0.3124494036008143,0.01429837942123413
221,m426,Thy1,pre,39-40,2,5,7.0103065292497835,6.696918771733773,0.25564074516296387
221,m426,Thy1,post,17-18,5,7,0.3781063822285147,0.4573799024528224,0.014336884021759033
221,m426,Thy1,post,31-32,6,5,0.7516051262989815,0.40241234564793155,0.034025609493255615
221,m426,Thy1,post,39-40,3,9,0.2644635210554754,0.19000993461881396,0.04576081037521362
222,m496,DAT,pre,17-18,4,8,0.167062551348534,0.21929377180200135,0.02987605333328247
222,m496,DAT,pre,31-32,8,6,0.27373587920357806,0.24847163365075164,0.023427605628967285
222,m496,DAT,pre,39-40,4,5,3.811530402812997,2.0279820526880212,0.22777926921844482
222,m496,DAT,post,17-18,7,5,0.287863014251531,0.5615802471867285,0.013476371765136719
222,m496,DAT,post,39-40,8,4,1.739559194937147,1.3117339352933368,0.04862082004547119
229,m357,TH,pre,17-18,5,2,-0.30795169381491605,-0.12724324729320302,0.01956254243850708
229,m357,TH,pre,31-32,5,6,0.10179471506535229,0.13749873762131742,0.0038757920265197754
229,m357,TH,pre,39-40,6,6,1.6462676813849264,1.7179519774974856,0.07562190294265747
229,m357,TH,post,17-18,5,4,2.366552521482033,1.7036842331346942,0.022479891777038574
229,m357,TH,post,31-32,4,3,0.22449701975899633,0.5952040611850211,0.020168185234069824
229,m357,TH,post,39-40,2,4,1.585225249542455,2.0314353904014157,0.046744585037231445
223,m392,Thy1,pre,17-18,5,2,0.17332921298732615,0.4814691591879786,0.02458477020263672
223,m392,Thy1,pre,31-32,4,2,1.136249818540816,0.7115367741155898,0.029708147048950195
223,m392,Thy1,pre,39-40,8,4,4.66992555938216,2.6378931720872503,0.1536213755607605
223,m392,Thy1,post,17-18,8,3,0.7536036650864566,0.6626262547102274,0.021374523639678955
