group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine,min_trials,trial_imbalance,eligible_primary,integrated_crossnobis_robust_z,integrated_crossnobis_outlier_flag,spatiotemporal_crossnobis_robust_z,spatiotemporal_crossnobis_outlier_flag,integrated_cosine_robust_z,integrated_cosine_outlier_flag
219,m357,TH,pre,17-18,9,5,-0.3963301617342115,0.0978762810183506,0.0109795928001403,5,4,True,-0.9368446832140122,False,0.0,False,-0.626230312869715,False
219,m357,TH,pre,31-32,5,6,0.6015452397345218,0.4575358213200477,0.0042163133621215,5,1,True,1.6440832054345649,False,1.0330499470463685,False,-0.6745,False
219,m357,TH,pre,39-40,10,4,0.4663779160076208,0.3177288230800001,0.0726104974746704,4,6,True,0.34180251643321274,False,0.0,False,-0.10235022656165642,False
219,m357,TH,post,17-18,8,7,-0.1149823433339295,-0.0510298571806404,0.0108464360237121,7,1,True,-0.5873595821371231,False,-0.6745,False,-0.6745,False
219,m357,TH,post,31-32,8,6,-0.0620983523864177,0.2179841427905406,0.0092018842697143,6,2,True,-0.4467166770935021,False,0.3766147120199618,False,-0.5944589685499864,False
219,m357,TH,post,39-40,5,5,2.957823228807276,2.2208945784831275,0.0782451033592224,5,0,True,3.6037792597247016,True,2.845041385786393,False,0.6306294498328651,False
220,m392,Thy1,pre,17-18,7,4,1.1745649000952936,0.5414477206239905,0.0165672898292541,4,3,True,1.2905400946956649,False,0.08254523661028652,False,-0.7122430255561272,False
220,m392,Thy1,pre,31-32,7,7,0.2409467523066987,0.3921878222122141,0.0137001872062683,7,0,True,-0.6745,False,0.39136373087310494,False,-0.10924011167233885,False
220,m392,Thy1,pre,39-40,6,4,2.560662297911134,1.9922032811857155,0.1171756386756897,4,2,True,-0.3502410905104218,False,-0.10930865580899692,False,-0.6025506665899538,False
220,m392,Thy1,post,17-18,5,6,0.3746185554808157,0.353264850616923,0.0148069262504577,5,1,True,-0.003613034053970651,False,-0.14486866292093825,False,-0.05933353308738623,False
220,m392,Thy1,post,31-32,4,7,0.2212027591695042,0.236232555586555,0.0157750844955444,4,3,True,-0.31162663128020385,False,0.0880501848616229,False,-0.9802020430750858,False
220,m392,Thy1,post,39-40,6,3,4.48775970736611,2.7873698748645612,0.0576487779617309,3,3,True,1.2302871583450679,False,1.3637909541257593,False,0.38546505676439846,False
221,m426,Thy1,pre,17-18,5,4,0.4037360805518253,0.6614845134102101,0.0209963321685791,4,1,True,0.0835948805253681,False,0.4129454738033462,False,0.6367569744438728,False
221,m426,Thy1,pre,31-32,9,3,0.722432755246297,0.3124494036008143,0.0142983794212341,3,6,True,0.5072686844894017,False,-0.6744999999999999,False,0.0,False
221,m426,Thy1,pre,39-40,2,5,7.0103065292497835,6.696918771733773,0.2556407451629638,2,3,False,1.3619048045630964,False,5.150206053415049,True,0.5532333275061111,False
221,m426,Thy1,post,17-18,5,7,0.3781063822285147,0.4573799024528224,0.014336884021759,5,2,True,0.0036130340539707656,False,0.14486866292093825,False,-0.12574060687777777,False
221,m426,Thy1,post,31-32,6,5,0.7516051262989815,0.4024123456479315,0.0340256094932556,5,1,True,3.8677292234317124,True,1.117706000638941,False,1.4909577355668655,False
221,m426,Thy1,post,39-40,3,9,0.2644635210554754,0.1900099346188139,0.0457608103752136,3,6,True,-0.677208976862816,False,-0.6748923040849871,False,-0.49278038151941606,False
222,m496,DAT,pre,17-18,4,8,0.167062551348534,0.2192937718020013,0.0298760533332824,4,4,True,0.0,False,0.6745,False,0.6745,False
222,m496,DAT,pre,31-32,8,6,0.273735879203578,0.2484716336507516,0.0234276056289672,6,2,True,0.0,False,0.18220382947246638,False,0.2853434862127192,False
222,m496,DAT,pre,39-40,4,5,3.811530402812997,2.0279820526880212,0.2277792692184448,4,1,True,1.2333003497493642,False,1.1751567543053247,False,1.4227535289916107,False
222,m496,DAT,post,17-18,7,5,0.287863014251531,0.5615802471867285,0.0134763717651367,5,2,True,0.0,False,0.36875319989599176,False,-0.6456224463296373,False
222,m496,DAT,post,39-40,8,4,1.739559194937147,1.3117339352933368,0.0486208200454711,4,4,True,2.3617899627480914,False,1.8964356533844453,False,1.0894938864349277,False
229,m357,TH,pre,17-18,5,2,-0.307951693814916,-0.127243247293203,0.019562542438507,2,3,False,-0.6745,False,-0.8852278337922723,False,-0.2068542776707921,False
229,m357,TH,pre,31-32,5,6,0.1017947150653522,0.1374987376213174,0.0038757920265197,5,1,True,0.061006970058709795,False,0.0,False,-1.2016434336525263,False
229,m357,TH,pre,39-40,6,6,1.6462676813849264,1.7179519774974856,0.0756219029426574,6,0,True,4.204316829790611,True,3.249553429013091,False,-0.0002243724601728409,False
229,m357,TH,post,17-18,5,4,2.366552521482033,1.7036842331346942,0.0224798917770385,4,1,True,2.6039403346302454,False,1.5814471046155094,False,0.2915667823674818,False
229,m357,TH,post,31-32,4,3,0.2244970197589963,0.5952040611850211,0.0201681852340698,3,1,True,0.6885407606713898,False,2.515725234783918,False,0.6332416675735344,False
229,m357,TH,post,39-40,2,4,1.585225249542455,2.0314353904014157,0.0467445850372314,2,2,False,1.5735620420891667,False,2.54137245916626,False,-0.1512408497398638,False
223,m392,Thy1,pre,17-18,5,2,0.1733292129873261,0.4814691591879786,0.0245847702026367,2,3,False,-0.2771706475248709,False,-0.0825452366102862,False,1.729725281601996,False
223,m392,Thy1,pre,31-32,4,2,1.136249818540816,0.7115367741155898,0.0297081470489501,2,2,False,1.522949396956925,False,4.6601023295777075,True,2.8140866670970155,False
223,m392,Thy1,pre,39-40,8,4,4.66992555938216,2.6378931720872503,0.1536213755607605,4,4,True,0.4613668149761118,False,0.6125236177082028,False,-0.2983339551495677,False
223,m392,Thy1,post,17-18,8,3,0.7536036650864566,0.6626262547102274,0.0213745236396789,3,5,True,0.7815670829666559,False,0.7160399603774276,False,0.8685297477480912,False
223,m392,Thy1,post,31-32,4,5,0.2606278978579566,0.3317967534806375,0.0232245326042175,4,1,True,-0.0009725045044268505,False,0.6801693114136204,False,0.02846902482800033,False
223,m392,Thy1,post,39-40,6,3,3.634637344025128,2.0768407492571064,0.1094976067543029,3,3,True,0.8449654714107844,False,0.806092419393609,False,4.215892506707933,True
224,m426,Thy1,pre,17-18,3,3,1.4658184325813068,0.8515338107720649,0.0290427207946777,3,0,True,1.7465778662885625,False,0.9360545261966539,False,3.087530172123729,False
224,m426,Thy1,pre,31-32,2,5,1.4443514738143874,1.2032031963958925,0.0331961512565612,2,3,False,2.2791601395718706,False,11.232209179986128,True,3.4510557877580212,False
224,m426,Thy1,pre,39-40,6,6,4.381124271918948,2.1877597743859956,0.3120465278625488,6,0,True,0.3502410905104216,False,0.1093086558089964,False,1.0240588117925273,False
224,m426,Thy1,post,17-18,7,3,1.0104831964272467,0.9672333749888598,0.0283379554748535,3,4,True,1.3137692602190656,False,1.5637180905389556,False,1.8523161045462944,False
224,m426,Thy1,post,31-32,7,5,0.1341350368047403,0.0302375153977106,0.0181208848953247,5,2,True,-0.9976850234984623,False,-1.1883023190944115,False,-0.6625756954830976,False
224,m426,Thy1,post,39-40,5,5,0.1644241180948496,0.2876549256584017,0.0408412814140319,5,0,True,-0.7223928252356666,False,-0.5982501701257981,False,-0.8562196184805838,False
