group_id,cohort,state,cov_masked,cov_unmasked,blink,clipped,median_px
228,TH 20x deep,pre,0.9760629921259842,0.9975853018372703,0.00783902012248469,0.0136832895888014,99.21693805612688
228,TH 20x deep,post,0.99750656167979,0.99750656167979,0.0,0.0,92.70376055675729
199,TH 20x superficial,pre,0.993680066307501,0.9974443983975687,0.002590136759220887,0.001174195330846802,129.72564477706996
199,TH 20x superficial,post,0.9973097112860893,0.9973097112860893,0.0,0.0,72.77551624463817
237,DAT 20x superficial,pre,0.24315015479876162,0.9959752321981424,0.3825077399380805,0.3703173374613003,129.06032689451723
237,DAT 20x superficial,post,0.9828173374613003,0.996749226006192,0.0006578947368421052,0.013273993808049535,101.66355443651582
201,DAT 20x superficial,pre,0.3234126098790772,0.993485342019544,0.31288206684217573,0.357190665298291,111.24731939116413
201,DAT 20x superficial,post,0.07846091205211726,0.9965798045602606,0.3569625407166124,0.5611563517915309,132.86905748602658
202,DAT 20x superficial,pre,0.5446867218520762,0.997274379164143,0.03778854566256141,0.41479911164950534,235.79586882242688
202,DAT 20x superficial,post,0.9289041994750656,0.9978018372703412,0.00016404199475065617,0.06873359580052493,195.8761473469284
203,TH 20x deep,pre,0.12753833402403647,0.9972717226136206,0.2648846525763227,0.6048487360132615,143.20553588867188
203,TH 20x deep,post,0.8940164125053989,0.9975746702548257,0.02216020465796206,0.08139805309146483,74.91089294383778
204,TH 20x deep,pre,0.9554841828981904,0.9972371874568311,0.007597734493714601,0.034189805221715705,242.34630902423507
204,TH 20x deep,post,0.9974409448818897,0.9974409448818897,0.0,0.0,142.9959965391417
238,TH 20x deep,pre,0.8757062146892656,0.997457627118644,0.04011299435028248,0.08168549905838042,84.62649023877307
238,TH 20x deep,post,0.9969444444444444,0.9969444444444444,0.0,0.0,86.93825855557657
213,Thy1 10x,pre,0.6761325503355705,0.9981124161073825,0.2102768456375839,0.11193372483221477,108.1997684771784
213,Thy1 10x,post,0.9350461409395974,0.9983011744966444,0.03764681208053691,0.025608221476510068,105.11206008797427
214,Thy1 10x,pre,0.7171634680822104,0.9626514223492582,0.10445079624336463,0.17623519804001633,106.78152428144313
214,Thy1 10x,post,0.9307795698924731,0.9791397849462365,0.028844086021505375,0.038306451612903226,78.4786012365408
215,DAT 10x,pre,0.4977740828148466,0.9972377172280626,0.02612100407637846,0.4737180862475864,109.8506369122478
215,DAT 10x,post,0.9820180084745763,0.9879502118644068,0.003787076271186441,0.011228813559322034,92.42033698972793
216,Thy1 10x,pre,0.7666055045871559,0.982591743119266,0.039472477064220184,0.1765137614678899,83.61348565840345
216,Thy1 10x,post,0.9813990825688074,0.9831880733944954,0.0,0.0017889908256880733,96.98375779251529
217,Thy1 10x,pre,0.5906125498007968,0.9978585657370518,0.09838147410358565,0.3089641434262948,110.00039703015474
217,Thy1 10x,post,0.9158051338948006,0.9348429068535983,2.5215593322910888e-05,0.05391093852438348,83.37263771851623
218,DAT 10x,pre,0.017795698924731183,0.9718279569892473,0.4838172043010753,0.47021505376344086,159.03871154785156
