group_id,cohort,population,state,date,mouse,mo_z,odor_z,mo_frac_responders,mo_over_odor,n_blank_trials,d
236,DAT 20x superficial,somas,pre,20260814,m496,-0.0441016475,-0.0043515398,0.24691358024691357,,4,2026-08-14
237,DAT 20x superficial,processes,post,20260728,m442,-0.015294117,0.040592197,0.19913419913419914,-0.37677480230991195,6,2026-07-28
237,DAT 20x superficial,processes,pre,20260728,m442,0.023794942,0.16778045,0.2943722943722944,0.1418218987969099,3,2026-07-28
237,DAT 20x superficial,somas,post,20260728,m442,0.0139011385,0.0348056335,0.224,0.3993933482061172,6,2026-07-28
237,DAT 20x superficial,somas,pre,20260728,m442,0.0526032785,0.073742595,0.376,0.7133364170327883,3,2026-07-28
238,TH 20x deep,processes,post,20260730,m466,0.07340237,0.16166289,0.4156769596199525,0.4540458852368654,7,2026-07-30
238,TH 20x deep,processes,pre,20260730,m466,-0.15311518,-0.23876642,0.03800475059382423,,6,2026-07-30
238,TH 20x deep,somas,post,20260730,m466,0.15397593,0.20578262,0.543046357615894,0.748245551543663,7,2026-07-30
238,TH 20x deep,somas,pre,20260730,m466,-0.22296913,-0.38163552,0.059602649006622516,,6,2026-07-30
244,TH 20x superficial,processes,post,20260821,m466,0.16858763,0.36239406,0.5807365439093485,0.4652052795788098,4,2026-08-21
244,TH 20x superficial,processes,pre,20260821,m466,0.05736503,0.7352768,0.45609065155807366,0.0780182782864902,7,2026-08-21
244,TH 20x superficial,somas,post,20260821,m466,0.30148155,0.5513735,0.7171717171717171,0.5467828069357704,4,2026-08-21
244,TH 20x superficial,somas,pre,20260821,m466,0.17215521,0.9549402,0.5252525252525253,0.1802785242468586,7,2026-08-21
