group_id,mouse,line,depth_class,compartment,state,pair,integrated_crossnobis,integrated_null_z,integrated_cosine,spatiotemporal_crossnobis,spatiotemporal_null_z
203,m462,TH,deep,processes,post,39-40,0.2667661709114073,-0.23145294855965448,0.11527138948440552,0.3331241963721184,0.42429359172739034
225,m357,TH,superficial,somas,pre,17-18,0.28890110612198894,0.21727236563567545,0.032100141048431396,0.3356035869228409,0.718496777577613
225,m357,TH,superficial,somas,pre,31-32,0.40553810591304756,0.5802747776262749,0.10700803995132446,0.35806426398703434,1.1306740817234144
225,m357,TH,superficial,somas,pre,39-40,3.2923564654337674,2.919071709701068,0.25345635414123535,2.8580680422912557,2.1378554807206123
225,m357,TH,superficial,somas,post,17-18,0.019181458013321693,-1.0070723183919126,0.17583227157592773,0.06204421640983613,-0.8182048647012683
225,m357,TH,superficial,somas,post,31-32,0.024088894944949885,-0.7772654791503885,0.22080641984939575,0.05501202843098656,-0.3615530174332237
225,m357,TH,superficial,somas,post,39-40,0.25438528555084206,0.6013938557805968,0.41426587104797363,0.2130793425214846,0.8971408637726679
225,m357,TH,superficial,processes,pre,17-18,0.2311252778046807,-0.043362861531715896,0.08227205276489258,0.2914327649709825,0.6712084556185579
225,m357,TH,superficial,processes,pre,31-32,0.24673040949980843,0.26752149626624655,0.12666863203048706,0.30288464102381424,1.099821920778305
225,m357,TH,superficial,processes,pre,39-40,2.529033782332391,3.3711232731608773,0.331928014755249,1.733046552962565,1.7995538256895904
225,m357,TH,superficial,processes,post,17-18,0.04834153972642231,-0.7313417951839944,0.22584402561187744,0.06593377422564865,-1.2267602671074778
225,m357,TH,superficial,processes,post,31-32,0.14031192090441222,1.1407646967956013,0.2814478278160095,0.1327203197300107,1.5018037308143573
225,m357,TH,superficial,processes,post,39-40,0.08270209697022235,-1.2425942708561237,0.3314870595932007,0.11921408853495379,-0.45000297087073243
227,m496,DAT,superficial,somas,pre,31-32,0.024777115942629924,-0.588487527549089,0.020599007606506348,0.10921017131400051,0.12779564679716474
227,m496,DAT,superficial,somas,pre,39-40,1.2472119842174638,7.0463428364821,0.5616004467010498,0.9787521047577171,11.201844839439497
227,m496,DAT,superficial,somas,post,17-18,0.799611062595866,0.9238331633681627,0.3363304138183594,0.8415038115322674,2.557121784529605
227,m496,DAT,superficial,somas,post,31-32,-0.03682027892258772,-0.6944613439905265,0.10588341951370239,0.005858472061065489,-0.653177385522068
227,m496,DAT,superficial,somas,post,39-40,2.0891266435832176,2.134690067208124,0.8640111684799194,0.8321109830238721,0.42789510583901563
227,m496,DAT,superficial,processes,pre,31-32,0.0558517919361335,-0.4411910596292532,0.022083520889282227,0.07824482224406015,-0.22144450141451058
227,m496,DAT,superficial,processes,pre,39-40,1.0710762620965064,6.625137165986918,0.5879270434379578,0.8876817743248485,13.367223569006176
227,m496,DAT,superficial,processes,post,17-18,0.6270281035290551,0.7854037126242092,0.18819230794906616,0.6750229743190429,1.3058568016508678
227,m496,DAT,superficial,processes,post,31-32,-0.07315164224105435,-0.9328018002788722,0.06904876232147217,0.020899601230602034,-0.5720243269418606
227,m496,DAT,superficial,processes,post,39-40,1.519684619282921,1.8782508148605088,0.7991702556610107,0.6837804099970594,0.10218100392962276
