group_id,mouse,line,depth_class,compartment,state,pair,n_a,n_b,integrated_crossnobis,integrated_null_z,integrated_cosine,spatiotemporal_crossnobis,spatiotemporal_null_z,time_s,one_second_crossnobis,cumulative_crossnobis
201,m472,DAT,superficial,somas,post,17-18,3,6,0.07196365914743416,-0.3151209853270384,0.10211294889450073,0.10244742966801194,-0.6127016717612372,1.0,-0.11570015126354916,-0.10727539840192367
201,m472,DAT,superficial,somas,post,17-18,3,6,0.07196365914743416,-0.3151209853270384,0.10211294889450073,0.10244742966801194,-0.6127016717612372,2.0,0.08261779085372263,-0.03824406904417099
201,m472,DAT,superficial,somas,post,17-18,3,6,0.07196365914743416,-0.3151209853270384,0.10211294889450073,0.10244742966801194,-0.6127016717612372,3.0,0.12358734604490543,-0.01422626448511974
201,m472,DAT,superficial,somas,post,17-18,3,6,0.07196365914743416,-0.3151209853270384,0.10211294889450073,0.10244742966801194,-0.6127016717612372,4.0,0.3078975227108304,0.07614836214864054
201,m472,DAT,superficial,somas,post,31-32,6,7,-0.011161494029589792,-0.3128601839323069,0.0429157018661499,-0.00811833821487574,-0.2886347405768505,1.0,-0.0397678128764205,-0.04417494008808405
201,m472,DAT,superficial,somas,post,31-32,6,7,-0.011161494029589792,-0.3128601839323069,0.0429157018661499,-0.00811833821487574,-0.2886347405768505,2.0,-0.09091735277278892,-0.09131153405154496
201,m472,DAT,superficial,somas,post,31-32,6,7,-0.011161494029589792,-0.3128601839323069,0.0429157018661499,-0.00811833821487574,-0.2886347405768505,3.0,-0.07435959901819957,-0.1047031653603858
201,m472,DAT,superficial,somas,post,31-32,6,7,-0.011161494029589792,-0.3128601839323069,0.0429157018661499,-0.00811833821487574,-0.2886347405768505,4.0,0.19558541021763573,-0.0312337326055074
201,m472,DAT,superficial,somas,post,39-40,7,6,-0.004074648255824727,-0.36900309441502105,0.04508841037750244,0.03314030557519643,-0.16499570638922595,1.0,0.0035730664606641897,0.0061640140121142295
201,m472,DAT,superficial,somas,post,39-40,7,6,-0.004074648255824727,-0.36900309441502105,0.04508841037750244,0.03314030557519643,-0.16499570638922595,2.0,0.05994890784901583,0.004529042379563953
201,m472,DAT,superficial,somas,post,39-40,7,6,-0.004074648255824727,-0.36900309441502105,0.04508841037750244,0.03314030557519643,-0.16499570638922595,3.0,0.053093491097855355,0.0388702457577127
201,m472,DAT,superficial,somas,post,39-40,7,6,-0.004074648255824727,-0.36900309441502105,0.04508841037750244,0.03314030557519643,-0.16499570638922595,4.0,-0.00559410995164219,-0.023712174356528417
201,m472,DAT,superficial,processes,pre,17-18,5,2,0.6518128160664673,0.19864168592789985,0.9206122756004333,0.6724171664344126,0.13509359491125836,1.0,1.1022015174999085,1.097871386402232
201,m472,DAT,superficial,processes,pre,17-18,5,2,0.6518128160664673,0.19864168592789985,0.9206122756004333,0.6724171664344126,0.13509359491125836,2.0,0.18617911839808998,0.5059335288233777
201,m472,DAT,superficial,processes,pre,17-18,5,2,0.6518128160664673,0.19864168592789985,0.9206122756004333,0.6724171664344126,0.13509359491125836,3.0,0.897366612195297,0.7254690377303135
201,m472,DAT,superficial,processes,pre,17-18,5,2,0.6518128160664673,0.19864168592789985,0.9206122756004333,0.6724171664344126,0.13509359491125836,4.0,0.4872309805313815,0.6250823836072352
201,m472,DAT,superficial,processes,pre,31-32,7,4,0.30880709477219326,1.3666346742465152,0.0362476110458374,0.3649593185668886,1.8933495302748582,1.0,0.5691660442857689,0.5563751061000957
201,m472,DAT,superficial,processes,pre,31-32,7,4,0.30880709477219326,1.3666346742465152,0.0362476110458374,0.3649593185668886,1.8933495302748582,2.0,0.3045037151317691,0.40818961882956456
201,m472,DAT,superficial,processes,pre,31-32,7,4,0.30880709477219326,1.3666346742465152,0.0362476110458374,0.3649593185668886,1.8933495302748582,3.0,0.34694679833749753,0.39666342821432315
201,m472,DAT,superficial,processes,pre,31-32,7,4,0.30880709477219326,1.3666346742465152,0.0362476110458374,0.3649593185668886,1.8933495302748582,4.0,0.16489800937563387,0.3023866100687294
201,m472,DAT,superficial,processes,pre,39-40,6,5,0.0197640992836562,-0.2940751175166282,0.15163177251815796,0.2781273532862624,0.6257419587243771,1.0,0.7362620140520951,0.7224065434234888
201,m472,DAT,superficial,processes,pre,39-40,6,5,0.0197640992836562,-0.2940751175166282,0.15163177251815796,0.2781273532862624,0.6257419587243771,2.0,0.19419722133483225,0.5643477323286256
201,m472,DAT,superficial,processes,pre,39-40,6,5,0.0197640992836562,-0.2940751175166282,0.15163177251815796,0.2781273532862624,0.6257419587243771,3.0,0.043837181907885506,0.10454491211844565
201,m472,DAT,superficial,processes,pre,39-40,6,5,0.0197640992836562,-0.2940751175166282,0.15163177251815796,0.2781273532862624,0.6257419587243771,4.0,0.12285142734405838,0.0642320949752873
201,m472,DAT,superficial,processes,post,17-18,3,6,0.1041977556870907,0.3097158422842082,0.08512508869171143,0.12278885335052972,-0.328971794355798,1.0,-0.0973042802953044,-0.07464780476987042
201,m472,DAT,superficial,processes,post,17-18,3,6,0.1041977556870907,0.3097158422842082,0.08512508869171143,0.12278885335052972,-0.328971794355798,2.0,0.10665853249778728,-0.017714305764429554
201,m472,DAT,superficial,processes,post,17-18,3,6,0.1041977556870907,0.3097158422842082,0.08512508869171143,0.12278885335052972,-0.328971794355798,3.0,0.19883623731208017,0.02614686313377298
201,m472,DAT,superficial,processes,post,17-18,3,6,0.1041977556870907,0.3097158422842082,0.08512508869171143,0.12278885335052972,-0.328971794355798,4.0,0.24015030373241564,0.10280634164747478
201,m472,DAT,superficial,processes,post,31-32,6,7,0.027926022153027738,-0.09376593850407124,0.04566943645477295,0.019050674360019604,-0.14318839113555826,1.0,-0.021948997281608932,-0.03493313895824239
