line,pair,bin_start_s,group_id,bin_stop_s,n_a,n_b,cv_pattern_energy_z2,signed_cv_pattern_rms_z,centroid_difference_rms_z,q10_z,q25_z,median_z,q75_z,q90_z,central80_width_z
TH,31-32,1.0,214.5,2.0,5.75,5.75,-0.010611578474185437,-0.0690356958182914,1.1906020641326904,0.23109844261780382,1.4404764007776976,3.4282561242580414,6.326793223619461,9.499715185165407,9.676425939705224
TH,31-32,2.0,214.5,3.0,5.75,5.75,0.7036907363148482,0.26684883425766287,1.1699883043766022,0.17402998930774632,1.4027977921068668,3.5816563963890076,6.456767529249191,9.946882843971252,10.072853726893664
TH,31-32,3.0,214.5,4.0,5.75,5.75,0.2245491991567829,0.3251032600484984,1.1559280753135681,0.2821570959873497,1.5691651925444603,3.7014535665512085,7.090805411338806,10.333974480628967,10.215820273384452
TH,39-40,0.0,214.5,1.0,8.0,6.5,0.16778942897212423,0.3128315365723897,0.6182081699371338,0.05843833424150943,0.347914753947407,0.7089332677423954,1.1794139742851257,1.7078666254878048,1.6654990717768672
TH,39-40,1.0,214.5,2.0,8.0,6.5,0.14390450826505907,0.37402325487902394,0.8876064419746399,-0.5620184293016791,-0.13041411759331822,0.47618643939495087,1.3133918731473386,2.306439429521561,2.8684578588232403
TH,39-40,2.0,214.5,3.0,8.0,6.5,0.19515509016230603,0.2946056985871657,1.0614312887191772,-0.45390766132622956,-0.0696330030914396,0.48010116443037987,1.491131953895092,2.5928586214780815,3.046766282804311
TH,39-40,3.0,214.5,4.0,8.0,6.5,0.22057178160833318,0.32513782402001634,1.0252264440059662,-0.18177860365249215,0.19723614491522312,0.8507613055408001,1.896919623017311,3.1067431449890144,3.2856370715424426
Thy1,17-18,0.0,218.5,1.0,6.0,4.5,0.16030422488466056,0.3943848061128125,0.606739729642868,-0.32770062312483783,-0.04242326132953167,0.4167069382965565,1.1070110201835632,2.3824253499507906,2.7377085819840437
Thy1,17-18,1.0,218.5,2.0,6.0,4.5,0.009034916276891236,0.0061998707109681694,0.9235484749078751,-0.588698898255825,-0.1360741462558508,0.4244619645178318,1.3894630819559097,3.236009174585341,3.993103051558138
Thy1,17-18,2.0,218.5,3.0,6.0,4.5,-0.15358675256569349,-0.37210901159485815,0.86806520819664,-0.12775349542498587,0.3114436673349701,1.1657238006591797,2.482911378145218,5.167381346225738,5.313484322652222
Thy1,17-18,3.0,218.5,4.0,6.0,4.5,-0.07843255203670749,-0.246353217900921,0.8539005666971207,-0.2756894038058817,0.24371515261009336,1.1347476169466972,2.6816608011722565,5.642178893089294,5.806510695908219
Thy1,31-32,0.0,219.5,1.0,4.5,5.25,0.6770270686757215,0.45893499454208514,1.3325802683830261,-0.0465650411439128,0.2351444661617279,1.318612962961197,3.2006431221961975,5.655786573886872,5.716755165543874
Thy1,31-32,1.0,219.5,2.0,4.5,5.25,0.21659852094450693,0.4044436837814938,1.3504593074321747,-0.16771132703870534,0.1894072638824582,1.4414694607257843,3.9199248701334,6.96746394634247,7.08808381315321
Thy1,31-32,2.0,219.5,3.0,4.5,5.25,0.020308688117974205,0.04871682991920684,1.3663064241409302,-0.14780453592538834,0.23364697117358446,1.6139753311872482,4.04267355799675,7.104071092605592,7.178120762016626
Thy1,31-32,3.0,219.5,4.0,4.5,5.25,0.13408437810748042,0.14196529499788924,1.3724181354045868,-0.078989360993728,0.3008568240329623,1.409913495182991,3.8643204122781754,6.726921916007996,6.705543883098289
Thy1,39-40,0.0,218.5,1.0,5.25,4.75,1.2572701303540463,1.1050392824673667,1.199583739042282,-0.05290930294431745,0.18467760551720858,0.5957719832658768,1.4487204104661942,2.8631984889507307,2.8665991631802186
Thy1,39-40,1.0,218.5,2.0,5.25,4.75,1.643018003772255,1.2698636842749185,1.5035312175750732,-0.3060655627399683,0.027464474347652867,0.5662780813872814,1.5793160647153854,3.3541336715221397,3.6249670289456843
Thy1,39-40,2.0,218.5,3.0,5.25,4.75,2.424254509481025,1.552597070387364,1.79623344540596,-0.1908655472099781,0.06048934836871922,0.5194580666720867,1.6955835968255997,3.871546876430511,4.100228580087423
Thy1,39-40,3.0,218.5,4.0,5.25,4.75,3.2380802159751294,1.7900770063732758,1.8281917870044708,-0.15575025565922257,0.1320503456518054,0.6107114180922508,1.7894029468297958,4.246376997232437,4.408652522973717
